,Countries,1A_Government_consumption,data.1,1C__Government_investment,data.3,1Dii_Top_marginal_income_and_payroll_tax_rate,2H_Police_and_crime,data.6,3D__Foreign_currency_bank_accounts,data.8,4Dii__Capital_controls,4Diii_Freedom_of_foreigners_to_visit,5Bv_Cost_of_worker_dismissal,5Bvi__Conscription,World_Bank_Region,Income_Classification
0,0,0.9658791067950698,0.5418145330868664,-0.301272474051069,-0.539806393404798,0.6228261153214845,0.0659732599637895,0.09986305262761534,0.8149978025038181,-1.0994312159350912,0.5223472296247396,0.9417269114936799,-0.3919378193371299,0.798025372746645,1,3
1,1,-0.928868858652195,0.22895952356760385,-1.2061332220093188,0.3795456524598943,-1.374895236996995,0.309987579084874,1.2055180907519396,-0.9425489978394734,0.42624358899446124,-1.0434430651940934,-1.3302761225819901,0.17757153657172878,-1.1166241727790656,3,2
2,2,0.6674919778306689,-1.249155952714256,0.41303768448287415,-0.3951312919005518,0.6228261153214845,-1.2426975261221698,1.3086352705723296,-0.9425489978394734,-0.5878736431644055,-0.3008702472437976,-1.3302761225819901,-0.2765341842401605,-1.40846361152947,6,2
3,3,-0.03958957593844283,1.1094826660169006,0.2888658248195349,0.3795456524598943,-1.822862693647933,0.3347963320574442,1.4557706481372892,-0.9425489978394734,1.84976523655072,-1.5731022238811418,-1.3302761225819901,-1.3281850038742966,0.798025372746645,2,3
4,4,0.3208828398463527,0.46370350080273465,0.4635993809557935,-0.6111280840946459,0.6228261153214845,0.8039541105290472,-0.04424175294430154,0.8149978025038181,-0.028201907145107657,0.9751740003119088,1.3077833562733017,0.9520267817758914,-1.40846361152947,1,3
5,5,-1.1712349356919074,1.2219012560649527,0.6937266392057285,1.2330801832982674,-0.542027886426338,1.1686580094301595,-1.0674921069005003,0.8149978025038181,0.32152642402591375,0.5223472296247396,-1.3302761225819901,0.2570831058807157,0.798025372746645,0,0
6,6,-1.1453211654878286,1.9735796750228922,1.2438132029064923,2.1429544952248563,-0.9504025711096714,1.7308666242819803,-1.86121580212563,0.8149978025038181,0.33233625733378636,-0.0015450169804883168,0.9735673942077201,1.4114312417283852,-1.1166241727790656,1,0
7,7,-0.004217496698113045,0.281392333647695,-1.5829431566791297,-0.3951312919005518,-0.542027886426338,0.9988504146899043,1.494037602674454,-0.9425489978394734,0.22186464474599416,0.5223472296247396,-0.6331395016517358,0.5407070565337424,-1.3244994475547485,1,3
8,8,0.15230145445672658,0.1516982662733112,1.2438132029064923,-2.051220957273081,1.7281972681867568,-1.0747393885036003,0.9707296868363785,-1.4512245224744518,1.0244740392561,-1.0434430651940934,-1.3302761225819901,-0.30718934165707246,0.798025372746645,2,0
9,9,-0.9576892797753596,-0.9179715360818139,1.2438132029064923,-2.051220957273081,1.7281972681867568,1.2806578601686802,0.8987868815875786,0.8149978025038181,-1.18334444901271,0.9751740003119088,0.6268617932090712,-0.12812748904133456,0.798025372746645,3,0
